פתרון,הגדרה,אורך,מחבר,מספר
בוטניקאי,החוקר מברר היכן הפיצוח של החיה (8),8,אודי הרשקוביץ,458
בוטפליקה,נשיא של צד אחד בלבד בצריף (8),8,אודי הרשקוביץ,260
בוטרגניו,כדורגלן שהעיר בפיצוחיו (8),8,אודי הרשקוביץ,462
בויילרימ,מחממים לא חכמים באוניברסיטה? להיפך! (8) (מ),8,אודי הרשקוביץ,395
בוילר,ר' יובל דואג שיהיה נעים להתרחץ (5),5,אודי הרשקוביץ,609
בוכהלטריה,מספר לבחורה החדשה את כל הצרות שלו עם הניירת (9),9,אודי הרשקוביץ,238
בוכנות,במנוע יש שקרים? להיפך! (6),6,אודי הרשקוביץ,597
בוכנות,כולל יושר במנוע (6),6,דוד זהבי,643
בוכרה,חפר בתוכו במרכז אסיה (5),5,אודי הרשקוביץ,593
בולבפוני,"סוס בלע את זה שעוזר למשלוח? מדויק! (3, 5)",8,דוד זהבי,531
בולגקוב,סופר שבקנה המידה שלו יחידת נפח קטנה הופכת לגדולה (7),7,דוד זהבי,267
בולגרי,מותג אירופאי (6),6,דוד זהבי,306
בולגריה,"בדיוק שם בית ה' באירופה (7) (ע""פ הדס זהבי, השבוע בת 10)",7,דוד זהבי,522
בולגריה,המדינה בדרך! והיא כוללת גם בירה (7),7,אודי הרשקוביץ,532
בולגרימ,"כמאמר השיר, כי כולנו זאב ששתה בירה (7)",7,דוד זהבי,94
בולדוג,כלב שנראה בדיוק כמו כלב (6),6,אודי הרשקוביץ,85
בולדוזר,"בולבול לא מוכר, אבל עושה את העבודה (7)",7,אודי הרשקוביץ,126
בולדוזר,"הבולבול לא מכאן, אבל עושה את העבודה (7)",7,אודי הרשקוביץ,436
בולדר,סלע שמכיל ממתק (5),5,אודי הרשקוביץ,309
בולונז,איך זבולון אוכל את הפסטה שלו? (6),6,אודי הרשקוביץ,134
בולטימור,הם לא כמו כולם בסוף התור בארצות הברית (8),8,אודי הרשקוביץ,595
בוליבר,המשחרר מחזיר את המנהיג הרוחני של המדינה (6),6,אודי הרשקוביץ,515
בולמוס,חייב לאכול ואף אחד לא יעצור אותו (6),6,דוד זהבי,41
בולמוס,לאכול יותר מדי זה בדיוק ההגדרה של קינוח (5),6,אודי הרשקוביץ,468
בולענ,"כדאי להזהר לא ליפול, זה יבול ענק (5)",5,דוד זהבי,435
בולענימ,בונים על זה? ממש לא! (7),7,דוד זהבי ואודי הרשקוביץ,175
בולעת,זה בדיוק הזמן שנכנס לתוכה (5),5,דוד זהבי ואודי הרשקוביץ,475
בולצנו,צחקנו במקום ההוא באיטליה (6),6,אודי הרשקוביץ,250
בולשביקימ,מרגל בין הגרמנים ברוסיה (9),9,אודי הרשקוביץ,148
בולשביקימ,מרגל בתוך גרמנים קומוניסטים (9),9,אודי הרשקוביץ,562
בולשוי,מנין שעבדו במטבח בתוך התאטרון? (6),6,אודי הרשקוביץ,121
בולשת,המערוך שהיה שלך לא רוצה להתגלות (5),5,דוד זהבי,467
בומ,אחרי שבע יש בתוכם שש (3),3,דוד זהבי,196
בומ,בעקבות אהל יש רעש גדול (3),3,דוד זהבי,512
בומבהצור,"השחקן שוב חושק במהלך אנגלי (5, 3)",8,אודי הרשקוביץ,246
בומעלקולי,"כשטסים מהר, קולעים בול (3, 2, 4)",9,אודי הרשקוביץ,468
בומעלקולי,"עמוק בליבו הוא יודע שזה בגלל מהירות גבוהה (3, 2, 4)",9,דוד זהבי,631
בומרנג,"הוא חוזר, בתוכו יש משהו מתוק (6)",6,אודי הרשקוביץ,38
בומרנג,תמיד חוזר כשבתוכו הרב של יהדות התורה (6),6,אודי הרשקוביץ,411
בונ,בירה חצי מתוקה (3),3,אודי הרשקוביץ,44
בונבוניירות,מכיל הר של דפים ומתנות (11) (מ),11,אודי הרשקוביץ,299
בונדוק,לא עמדו בעץ אגוז (6),6,אודי הרשקוביץ,52
בונזור,קחו בחשבון: זורקים את זה בצרפת (6),6,אודי הרשקוביץ,203
בוניאמ,"שרו פעם על אלו שמרכיבים תנאי (4, 2)",6,אודי הרשקוביץ,211
בוניוקלייד,"שודדים שוב מלצר, לפי מדיניות המושב (4, 6)",10,דוד זהבי,100
בונימעליכ,"אתה מתחת לשוער כי מייעדים לך תפקיד (5, 4)",9,דוד זהבי,402
בוננזה,סידרה בתוכו רכב צבאי מסוים (6),6,אודי הרשקוביץ,103
בונפרטה,"לא נשמור, וחוץ מזה הוא לא עדין, הגנרל (7)",7,דוד זהבי,86
בונקר,יכול להגן וציפור בתוכו (5),5,דוד זהבי,55
בוס,ריק מעלי (3),3,דוד זהבי,22
בוס,"שום דבר אינו מכיל - אך עובדים לו, ועסק להפעיל (3)",3,אודי הרשקוביץ,605
בוסטונ,מנהל גדול בארצות הברית (6),6,אודי הרשקוביץ,226
בוסטונ,נכשל בבגדו בעיר (6),6,אודי הרשקוביץ,326
בוספורוס,מצר על מנהל בעל מזל אפס (8),8,אודי הרשקוביץ,591
בוסקטס,"שחקן טוב אבל מנהל זוטר, חתיכת אפס! (6)",6,אודי הרשקוביץ,515
בוסקילה,ראה/י 20 מאונך,7,אודי הרשקוביץ,583
בוסר,כולל אציל שזמנו עוד לא הגיע (4) (מ),4,דוד זהבי,171
בוסתנ,"גן, בן ו 34 מאוזן מקוצר באמצע (5)",5,דוד זהבי ואודי הרשקוביץ,625
בוסתנאי,הוא מנהל את אם הגנן (7),7,אודי הרשקוביץ,85
בוסתנספרדי,"מבקש מהמנהל את הכרך הרביעי של המחזה (5, 5)",10,אודי הרשקוביץ,60
בועזביסמוט,"עתונאי שמכיל חיה ואני יובל, טוב? (4, 6)",10,דוד זהבי,224
בופלו,בעל חיים אלוף (5) (מ),5,אודי הרשקוביץ,160
בוצי,תקרבו ציוד שאפשר לשקוע בו (4),4,אודי הרשקוביץ,268
בוצעות,חותכות את מה שהם בוצרים שעות בצדדים (6),6,אודי הרשקוביץ,436
בוצשחור,"שוב רוחץ בים המלח (3, 4)",7,דוד זהבי ואודי הרשקוביץ,375
בוקה,"עם 23 מאוזן. איזה בלאגן! שים פרחים עם הרבה מים לפני סוף המעקה (4, 7)",4,אודי הרשקוביץ,101
בוקיצה,עץ כולל העונה שלה (6),6,דוד זהבי,327
בוקניר,איזה שודד ים טיפש הולך עם שדה (6),6,אודי הרשקוביץ,554
בוקסבבטנ,"לחטוף שוק וקטן סבב (4, 4)",8,דוד זהבי,342
בוקסות,"מבליטות בעיתון בתוכו, באמצע טקסט ובסוף (6)",6,דוד זהבי,43
בוקר,"עם 24 מאונך. עץ אחרי גשמים של ברכה (4, 3)",4,אודי הרשקוביץ,636
בוקרטוב,"אידיוט ש""ברח"" לו בלילה, מה אומרים לו כשהוא קם? (4, 3)",7,אודי הרשקוביץ,526
בוקרסט,ראה 27 מאוזן,6,דוד זהבי,22
בור,מי שומן? סוד! (3),3,דוד זהבי,547
בורא,"עם 2 מאונך. טפש שסומכים עליו בלי נוזל ועם, זו ברכה (4, 4, 5)",4,דוד זהבי,529
בוראפריהאדמה,"הנוזל שלה יהפוך לחפירה של שרידי שריפה וזו ברכה (4, 3, 5)",12,דוד זהבי,400
בוראפריהעצ,"טיפש וגם מבולבל הצעיר? זו ברכה (4, 3, 3)",10,אודי הרשקוביץ,185
בורביוב,"המורה שלי משליך רשת לכל צד ולא כדאי ליפול לשם (3, 4)",7,דוד זהבי,567
בורג,שר ומסתובב (4),4,אודי הרשקוביץ,499
בורגונדי,חפירה של מאכל מזרחי בצרפת (8),8,דוד זהבי,439
בורגונדי,חבל ארץ שלא יודע כלום על קציצות אסייתיות (8),8,אודי הרשקוביץ,483
בורגונדי,ראה/י 23 מאוזן,8,אודי הרשקוביץ,568
בורגנימ,הם מהאמצע והוא מסתובב עם צינור (7),7,אודי הרשקוביץ,79
בורגנימ,היה שר שנה והם לא מהפכנים (7),7,דוד זהבי,265
בורגנימ,"טפש, לומדים בהם בעלי רכוש (7)",7,דוד זהבי,346
בורגתא,שם מצטבר יין שנוצר קודם במושב (6),6,דוד זהבי,449
בורדו,שני טפשים בצרפת (5),5,אודי הרשקוביץ,223
בורדו,צבע ורוד (5),5,אודי הרשקוביץ,293
בורדל,"מלבד זימה, אל תצפה למצוא הרבה בחפירה (5)",5,דוד זהבי,27
בורודינ,מלחין מטבע בצבע (7),7,דוד זהבי ואודי הרשקוביץ,225
בורודינו,קרב שהוא מטבעו אופטימי (8),8,אודי הרשקוביץ,456
בורח,"הוא כבר לא פה, ונשמע שהוא מסריח (4)",4,דוד זהבי,390
בורי,דג טפשי (4),4,אודי הרשקוביץ,623
בוריטוס,מאכל שמורכב מדג ועוף (7),7,אודי הרשקוביץ,458
בורימ,הם טפשים שהם נלחמו (5),5,דוד זהבי,97
בורימ,הייתה להם מלחמה ומרי (5),5,אודי הרשקוביץ,197
בורימ,הם לא יודעים כלום על המלחמה (5),5,דוד זהבי,439
בוריסבקר,"בחפירה שלי אין פרות, אמר הטניסאי (5, 3)",8,דוד זהבי,100
בוריסגונסונ,"זה שנשך אותי ברח עם יותר מחצי בחזרה מבריטניה (5, 6)",11,אודי הרשקוביץ,395
בוריסוב,דג שישוב ב 7 מאונך (7),7,אודי הרשקוביץ,462
בוריסילצינ,"המנהיג התשיעי התהפך, והעשירי השתמש בדחיה (5, 5)",10,דוד זהבי,8
בוריסילצינ,"נשיא לשעבר דג אישור איטלקי למדבר (5, 5)",10,דוד זהבי,598
בורמה,זו הדרך אל המדינה (5),5,אודי הרשקוביץ,103
בורמה,"תמצא שם מדינה, ומהר! (5)",5,אודי הרשקוביץ,579
בורמזי,חתול דג אכל בהתחלה מזון (6),6,אודי הרשקוביץ,493
בורנאו,במזרח היה שמח בהגיעו (6),6,אודי הרשקוביץ,32
בורנאו,"""הטיפש החדש"" במזרח (6)",6,אודי הרשקוביץ,44
בורנאו,שמח כשהוא מגיע לאי (6),6,אודי הרשקוביץ,230
בורנאו,שמח בהגיעו לאי (6),6,אודי הרשקוביץ,317
בורסה,כשהיא נופלת יש בלגאן והרס (5),5,דוד זהבי,410
בורסה,חוסר שיתוף הפעולה לחזור ולהשקיע שם (5),5,אודי הרשקוביץ,523
בורסלינו,תבלין עם התנגדות לחזור להיות כובע (8),8,אודי הרשקוביץ,270
בורקינהפסו,"באפריקה אין בתוכו כלום חוץ ממטבע? המטבע! (7, 3)",10,אודי הרשקוביץ,34
בורקיני,גם הוא בגד בחפירת הבית שלי (7),7,אודי הרשקוביץ,11
בורקסימ,נאכלים אפילו שהוא ממולא רק בכרטיס (7),7,אודי הרשקוביץ,349
בושות,"סימן שוב ושוב, איזה פדיחות (5)",5,דוד זהבי,576
בוששולבוא,"הנשיא לשעבר הוכנס לעניינים, וקודם כל הם אחרו (5, 4)",9,דוד זהבי,200
בות,ראה/י 23 מאוזן,3,דוד זהבי,522
בזבזתמ,לא נתתם כבוד לעוף ועכשיו אין לכם (6),6,דוד זהבי,635
בזויתהעינ,"בקושי שמים לב להשפלה של משקה וביצה  (5, 4)",9,דוד זהבי,151
בזיכ,"בגלל שהוא מטפטף שוב, שים כלי קיבול עתיק (4)",4,אודי הרשקוביץ,503
בזיליקומ,מתבקשת לפגוע בכל העולם עם תבלין (8),8,אודי הרשקוביץ,456
בזיליקומ,התבלין שוב מטפטף לי? שיעמוד! (8),8,אודי הרשקוביץ,642
בזל,במת העיר (3),3,אודי הרשקוביץ,623
בזלת,הילדה אכלה את המת והפכה לאבן (4),4,דוד זהבי,178
בחוסרכל,"צריך להחזיר לבטן שלו שוב בלי כלום (5, 2)(מ)",7,דוד זהבי,271
בחורימ,חומרי אינם מבוגרים (6),6,אודי הרשקוביץ,356
בחזית,ראית שניים שנלחמים (5),5,דוד זהבי,249
בחיימלא,"נשבע לך שאין מקום, אין מצב שזה יקרה (5, 2)",7,אודי הרשקוביץ,417
בחינמ,יש חמין בלי כסף (5),5,אודי הרשקוביץ,70
בחינתבגרות,"פעם ב-4 שנים או פחות בולעים שדה תעופה, צריך להתכונן (5, 5)",10,דוד זהבי,97
בחינתבגרות,"בן גוריון נמצא בבחירות בתיכון (5, 5)",10,אודי הרשקוביץ,326
בחירה,שמענו שההצבעה לא משהו (5),5,אודי הרשקוביץ,411
בחירהמרובה,"בזה שנושם, ראש הממשלה נשק, איזו שאלה? (5, 5)",10,דוד זהבי,541
בחלומות,"לא יקרה, הם הסתייגו מהסוף (7)",7,דוד זהבי,39
בחנ,בדק בקיבוץ (3),3,אודי הרשקוביץ,448
בחנמ,אזמל שאחריו לא צריך לשלם (4),4,דוד זהבי,302
בחסותהחשיכה,"זה שממהר ירביץ לירקות כשלא רואים (5, 6) (מ)",11,אודי הרשקוביץ,326
בחרוקשינימ,"בקושי הם הצביעו עבור אלו שלא מצליחים להרדם (5, 5) (ח)",10,אודי הרשקוביץ,72
בחרינ,העדיף את מטבע המדינה (5),5,אודי הרשקוביץ,162
בחרתי,אני יודע מה אני רוצה: ששוב יהיה גדול יותר (5),5,דוד זהבי,278
בטא,איזו גרסה הוא השמיע? (3),3,דוד זהבי,429
בטא,הוא השמיע גירסה (3),3,דוד זהבי,455
בטובוברע,"בועט בבור בכל מצב (4, 4)",8,אודי הרשקוביץ,350
בטוחלאומי,"מי עלול להפגע מטיל? מי שאמור להגן על האזרחים (4, 5)",9,דוד זהבי,66
בטוחמנהלימ,"החסכון נמצא בתחום של ספר לחוף (4, 6) (ח)",10,אודי הרשקוביץ,156
בטולברוב,"למה מותר לאכול את האיסור, ומדוע החוק כבר לא תקף? (4, 4)",8,דוד זהבי,300
בטח,"אחז היה קודם, ברור (3)",3,דוד זהבי,429
בטחובטח,"הם וגם הוא חתכו שוב? בוודאי, איזו שאלה! (3, 4)",7,אודי הרשקוביץ,507
בטנ,תחושת כאב: יש לו פרי האדמה (3),3,דוד זהבי,424
בטנ,"זה ילד טוב באמצע, ממש באמצע (3)",3,אודי הרשקוביץ,481
בטנ,"באמצע הגוף, בין גיס לבין אח""מ (3)",3,דוד זהבי,608
בטנונ,לפי הכלי הזה נשמע שהיא חוגגת יובל (5),5,דוד זהבי,435
בטריה,"מצד אחד קפוץ למים, מצד שני מים עלולים להרוס אותה (5)",5,אודי הרשקוביץ,428
בטרמ,עוד לפני וגם אחרי אח קל (4),4,דוד זהבי,340
בטרמ,עוד לפני הם בטחו ביורם רק מהצדדים (4),4,אודי הרשקוביץ,366
בי,עם 25 מאונך. אביו בנה משהו מתחת לאדמה (4),2,אודי הרשקוביץ,317
בי,עם 25 מאונך. היא מסוגלת להיות בשירותים (4),2,אודי הרשקוביץ,360
ביאוס,אכזבה בעשר או אפס (5),5,דוד זהבי,12
ביאוס,יאסו! זה לא כיף! (5),5,דוד זהבי,367
ביאליק,"בחיי, רון משורר! (6)",6,דוד זהבי,2
ביבינתניהו,"בחיים תביאי אותו לשלוט (4, 6)",10,דוד זהבי,82
ביבינתניהו,"בחיים תביאי דוקטור שהוא גם מנהיג (4, 6)",10,אודי הרשקוביץ,170
ביבינתניהו,"בחיים אל תקחי דוקטור בעל תפקיד בכיר מאוד (4, 6)",10,אודי הרשקוביץ,256
ביביסי,"כן, אדוני ראש הממשלה, זו רשת (2, 2, 2)",6,דוד זהבי,122
ביברס,"עם 25 מאוזן. שחקן בגן חיות בלי תוכן מבולבל (5, 4) (ח)",5,דוד זהבי,82
ביברסנתכו,"אחרי התעלה תרביצו לקצין כדורגלן (5, 4) (ח)",9,אודי הרשקוביץ,534
ביגבוס,"לא שמרו בי כלום בצמרת הארגון (3, 3)",6,דוד זהבי,97
ביגדיל,"אז מה אם הוא ירחיב שנים? (3, 3)",6,דוד זהבי,145
ביגוד,באיזה ענף יש רשע בענף? (5) (מ),5,דוד זהבי,400
ביגוניה,פרח שנמצא בעצביה (7),7,אודי הרשקוביץ,334
בידברזל,"אצלי המגפה מודברת בלי חכמות (3, 4)",7,דוד זהבי,363
בידוד,פרידה מקרוב שלא יכול לצאת (5) (מ),5,דוד זהבי,459
בידורקל,"מופע זמר, למשל, לא מחזיק יותר מלמד (5, 2)(מ)",7,דוד זהבי,82
בידימקשורות,"יש לי כפתור ומגילה, זו מגבלה רצינית (5, 6)",11,דוד זהבי,282
ביואיק,רכב שנוסע לבסט בי ואיקאה (6),6,אודי הרשקוביץ,181
ביוב,דל חד ומסריח אחרי שתים (4),4,דוד זהבי,267
ביולוגימ,מדענים שאולי ימצאו תרופה לקורונה במעדן קארי (8),8,אודי הרשקוביץ,358
ביוממנהימימ,"זיוף נתן תפקיד לשחור ואדום אולי, זה עוד יקרה (4, 2, 5)",11,דוד זהבי,296
ביחדננצח,"סיסמה אקטואלית: המוסד הרפואי שמונח לפנינו, נקי (4, 4)",8,אודי הרשקוביץ,548
ביטוח,חיים ישיר? (5),5,אודי הרשקוביץ,65
ביטוחחובה,"אני מכיל את המרחק שהיא צריכה לשלם כדי לנסוע (5, 4) (מ)",9,דוד זהבי,37
ביטוחנסיעות,"עם 8 מאוזן. אצלי הוא קוצץ מפלגות לגרגרים לפני שיוצאים מהארץ (5, 6, 4)",11,אודי הרשקוביץ,217
ביטוחרכב,"במידה ותהיה תאונה, את החריץ יזיזו בשניות (5, 3)",8,אודי הרשקוביץ,634
ביטויחשבוני,"ישפיעו ויהרהרו כשהילד שלי מבחוץ, למשל 2+2 (5, 6)",11,דוד זהבי,265
ביטונ,ראה/י 15 מאונך,5,אודי הרשקוביץ,401
ביטחונ,מה שמבקשת המגרסה במשרד (6) (מ),6,דוד זהבי,255
בייגל,ישמח בעצם היותי עגול (אבל לא בפסח) (5),5,אודי הרשקוביץ,101
ביידנ,ראה/י 25 מאונך,5,אודי הרשקוביץ,395
בייניש,המשקה מכיל נשיאה (6),6,אודי הרשקוביץ,150
בייניש,הנשיאה נמצאה במשקה (6) (מ),6,אודי הרשקוביץ,209
בייסבול,לא יהיה לו כיף בתוכי אפילו שזה משחק (7),7,דוד זהבי,488
בייסבול,כדור שלא יהיה לו נעים בתוכי 7),7,דוד זהבי,531
בייסבול,משחק שלא יהנה בתוכי (7),7,דוד זהבי,571
ביכורימ,מצוה שהיא תאור עצמי של מעדר (7) (מ),7,דוד זהבי,557
בילבאו,מוביל באומץ בספרד (6),6,דוד זהבי,102
בילבאו,הם נכנסו בשערי האוניברסיטה הספרדית (6),6,אודי הרשקוביץ,256
בילגייטס,"משורר עברי מכיל משורר אנגלי עשיר מאד (3, 5)",8,דוד זהבי,247
בילהרציה,עשה כיף עם תאווה למחלה (8),8,אודי הרשקוביץ,417
בילוי,איך נפרדים מהניצחון בסרט או בהצגה? (5),5,אודי הרשקוביץ,105
ביליאליוט,"לפי הסרט, אני כולל דפנה וחג (4, 5)",9,דוד זהבי,633
ביליונ,אני כולל עיר צרפתית? זה המון! (6),6,דוד זהבי,612
בילינסונ,מספר גדול ברח באמצע מוסד רפואי (8),8,אודי הרשקוביץ,636
ביליקריסטל,"שחקן באוניברסיטה יגרום לנפילתו של צבי (4, 6)",10,אודי הרשקוביץ,128
בימוי,במה עסק ברבש כל ימיו? (5),5,דוד זהבי ואודי הרשקוביץ,375
בימונ,ימנו שיאן עולמי (5),5,דוד זהבי,212
בימימ,ראה/י 5 מאונך,5,אודי הרשקוביץ,270
בינ,"עם 27 מאוזן. פגיעה מדוייקת כמו צו בצעצוע (3, 7)(מ)",3,דוד זהבי,147
בינ,"עם 1 מאונך ו 11 מאוזן. בימים אלה בבקשה, נעבור על מצוות לא תחסום בדישו (3, 3, 5)",3,אודי הרשקוביץ,491
בינגו,משחק היגון (5),5,דוד זהבי,102
בינגו,במטבע יש משחק משחק (5),5,אודי הרשקוביץ,264
בינגו,מה שיש בין משחק למשחק (5),5,אודי הרשקוביץ,343
בינהטפות,"בזהירות, לפני ואחרי  תעמולה (3, 5) (ח)",8,דוד זהבי,384
בינהערביימ,"חכמה של מוסלמים כנראה בסוף היום (3, 7)",10,דוד זהבי ואודי הרשקוביץ,275
בינהרגלימ,ראה/י 1 מאוזן,9,דוד זהבי,188
בינהשאר,"לא רק, להיפך, תחילת הפתגם (3, 4)",7,דוד זהבי,18
בינוני,זה מה שאמרתי לגאולה כשנפרדנו: זה לא משהו מיוחד (6),6,אודי הרשקוביץ,1
בינוני,לא מושך תשומת לב אבל טוען שבלע עורך (6),6,דוד זהבי,269
בינוני,שמאי מצד אחד ומצד שני – אין אפשרות שלישית (6) (מ),6,דוד זהבי,537
ביני,יין שאני אחד מהצדדים שלו (4),4,דוד זהבי,314
בינלאומי,אוניברסלי שמצידו שלילה ומהצד השני תו (8),8,דוד זהבי,629
בינשתיערימ,"יתארגן, למשל, זה שם של ספר (3, 3, 4) (עם דוד זהבי)",10,אודי הרשקוביץ,328
בינתחומי,שניים יחתכו את זה שלא מתרכז בדבר אחד (8),8,אודי הרשקוביץ,377
בינתחומי,שניים יחתכו את זה שלא מתרכז בדבר אחד (8),8,אודי הרשקוביץ,419
בינתיימ,"אני יודע המון, לפחות לרגע זה (7) (מ)",7,אודי הרשקוביץ,481
ביסלי,אני כולל מרידור מלוח (5),5,דוד זהבי,535
ביסליבצל,"חטיף חוזר לחיה ולחוט (5, 3)",8,דוד זהבי,606
ביסמרק,גרמני יש במשטרה בלבד (6),6,אודי הרשקוביץ,21
ביסמרק,טעימה מהמאכל של המנהיג (6),6,אודי הרשקוביץ,423
ביעפ,מהר מאד אני הכלתי את הטיסה שלו (4),4,דוד זהבי,502
ביצהעינ,"יעצה מה לאכול (4, 3)",7,אודי הרשקוביץ,42
ביצהקשה,"בסוף ברקוביץ שאל אם יש משהו לאכול (4, 3)",7,אודי הרשקוביץ,587
ביצוע,יועץ בעשיה (5) (מ),5,דוד זהבי ואודי הרשקוביץ,325
ביצועיו,איך הוא מתפקד במיטות שלו? (7),7,דוד זהבי,2
ביצועמושלמ,"יועץ ממש בול! בלי אף טעות! (5, 5)",10,דוד זהבי,522
ביציות,משהו שיש רק לנשים חזקות ואסרטיביות (6),6,אודי הרשקוביץ,213
ביצימ,אומץ בלול (5),5,דוד זהבי,592
ביצרונ,ינצרו את הישוב (6) (מ),6,אודי הרשקוביץ,483
ביצתהפתעה,"חוף אנגלי, משקה אנגלי ולחם מת שילדים אוהבים (4, 5)",9,דוד זהבי,420
ביצתפברזה,"חפץ יקר הבריז בצפת (4, 5)",9,דוד זהבי,549
ביקורהחסידה,"מה שמתחולל בתוכי הוא חרדית ולידה (5, 6) (מ)",11,דוד זהבי,386
ביקורתבונה,"החכמה קופצת להגיד שלום, היא יכולה לעזור (6, 4)(מ)",10,דוד זהבי,124
ביקורתבונה,"התארחות חכמה בשביל לשפר (6, 4)",10,אודי הרשקוביץ,230
ביקורתבןנה,"השכל קפץ לרגע לשפר (מ) (6, 4)",10,אודי הרשקוביץ,28
ביראלמכסור,"אצלי יש מפקד בכיר ומפקד זוטר, בוא לישוב בצפון (3, 2, 5)",10,אודי הרשקוביץ,226
בירגר,סופר גרמני טוען: אני מכיל את ראש העיר לשעבר (5),5,דוד זהבי,247
בירהמכבי,"בקשה מגולדה למשל לכבות את המשקה (4, 4)",8,אודי הרשקוביץ,623
בירוקרט,הפקיד כובע אצל החדש? להיפך! (7),7,אודי הרשקוביץ,558
בירוקרטוות,תחבושות בצבע לעבודות משרדיות (10),10,אודי הרשקוביץ,362
בירמנ,ראה/י 1 מאונך,5,אודי הרשקוביץ,638
בירנ,"ח""כ עם רב באמצע, מיסטר! (4)",4,דוד זהבי,112
בירנית,שרי בבית בצפון (6),6,דוד זהבי,578
ביש,"עם 22 מאונך. אני קרוי על שם  הנפטר, זה לא ממש טוב (3, 3)",3,אודי הרשקוביץ,428
ביש,"עם 1 מאונך. הארון מתאר את מה שעשה הקברן, מעצבן (3, 3)",3,דוד זהבי,453
בישומ,צריך להיפרד ממשהו מסריח כדי שיהיה ריח טוב (5),5,אודי הרשקוביץ,458
בישומ,יש בתוכי משהו שעושה ריח רע בשביל ריח טוב (5) (מ),5,דוד זהבי,635
בית,שני ילדים (3),3,דוד זהבי,20
בית,"עם 2 מאונך. איזה גבינות יש בירושלים (3, 3)",3,אודי הרשקוביץ,38
בית,"עם 8 מאוזן. איזה חלק בגוף הוא ישחית (3, 3)",3,אודי הרשקוביץ,483
בית,בעל משק בן אלף (3),3,דוד זהבי,512
בית,"עם 22 מאונך. נשאבתי לתוך עמק זה (3, 3)",3,אודי הרשקוביץ,538
בית,"עם 1 מאונך. העיר שלא תוותר לי? (3, 3)",3,אודי הרשקוביץ,548
בית,בעל כלי? בן אלף! (3),3,דוד זהבי,553
בית,"עם 23 מאוזן. שם גר השכן, באזור השרון (3, 3)",3,דוד זהבי,594
ביתאבא,"שם גדלתי, באבן (3, 3)",6,דוד זהבי,22
ביתאל,"ישוב בלי תא שחתך את סוף הקיבוץ (3, 2)",5,דוד זהבי,598
ביתאל,"הישוב טוען שהקצין נמצא בתוכו (3, 2)",5,אודי הרשקוביץ,607
ביתאלפא,"אצלי תלמד חיה ראשונה בעמק (3, 4)",7,אודי הרשקוביץ,132
ביתאלפא,"קיבוץ שהלחים שתי אותיות (3, 4)",7,דוד זהבי,614
ביתאריאלה,"האם לא פחדתי פעמיים בדרך חזרה מתל אביב (3, 6)",9,אודי הרשקוביץ,303
ביתגידול,"תאמרו שקלינטון בחוץ איפה שצומח (3, 5)",8,דוד זהבי,488
ביתדגנ,"קרוב לראשון יש שוב מזל בדרך (3, 3)",6,דוד זהבי,141
ביתהלוחמ,"בתהליך השיקום אולי היא מתחילה בו (3, 5)",8,אודי הרשקוביץ,299
ביתהנייר,"כאשר תאהבי, תהני, יראו את זה באינטרנט (3, 5)",8,אודי הרשקוביץ,315
ביתהנייר,"לפי הסדרה, יצחק רבין למשל מבטיח שיהיה לה כיף בו (3, 5)(מ)",8,דוד זהבי,337
ביתהנייר,"תשבי, תהני. יראו את זה באינטרנט (3, 5) (מ)",8,אודי הרשקוביץ,366
ביתהעמק,"לפני הלבן חוזר קצת לקיבוץ (3, 4) (ע""פ אילן ווכטל)",7,אודי הרשקוביץ,111
ביתהעמק,"תמי קבעה שצריך לעשות בלגן בקיבוץ (3, 4)",7,אודי הרשקוביץ,358
ביתהעמק,"את תאהבי תה עם קמומיל, כמו בקיבוץ (3, 4)",7,דוד זהבי,388
ביתהערבה,"בבקעה יש קערה שטוענת שיש בה משקה (3, 5)",8,דוד זהבי,614
ביתהפנקייק,"אמר שלום לשתיה מחשש לסירה בין חיפה לתל אביב (3, 7)",10,אודי הרשקוביץ,23
ביתוגנ,"יש גניבות בשכונה (3, 3)",6,אודי הרשקוביץ,450
ביתוניה,מה הבינותי בשומרון? (7),7,אודי הרשקוביץ,244
ביתור,אני כולל ממתינים לכמה חלקים (5) (מ),5,דוד זהבי,484
ביתזית,"אות ומין ליד ירושלים (3, 3)",6,דוד זהבי,298
ביתזרזיר,"גרמי לזה להיות מהר בתנועה בצפון (3, 5)",8,דוד זהבי,396
ביתחולימ,"צריך לחייב מות את מי שצריך טיפול (3, 5)",8,אודי הרשקוביץ,313
ביתחלקיה,"אני אהיה הפתיחה של המכונית במושב (3, 5)",8,דוד זהבי,267
ביתיעקב,"נסה למצוא את הילדה שלי במוסד חרדי (3, 4)",7,דוד זהבי,239
ביתכנסת,"תפעל נגדי באלימות לפני הסוף אבל נא לכבד את המקום (3, 4)",7,דוד זהבי,443
ביתלחמהגלילית,"תנהל מולי קרב לפני עיר שדה או מושב (3, 3, 7)",13,אודי הרשקוביץ,450
ביתליד,"שכן של הצומת (3, 3)",6,אודי הרשקוביץ,223
ביתמאיר,"אצלי כבר אין חדש במושב (3, 4)",7,אודי הרשקוביץ,515
ביתמאיר,"חדש נגמר בתוכי במושב (3, 4)",7,דוד זהבי,580
ביתמאיר,"מה שאומר ראש חודש סיון על המושב (3, 4)",7,דוד זהבי,631
