פתרון,הגדרה,אורך,מחבר,מספר
בולדוזר,"בולבול לא מוכר, אבל עושה את העבודה (7)",7,אודי הרשקוביץ,126
פואה,ראה/י 7 מאונך,4,אודי הרשקוביץ,126
אפילו,"למרות שבאו, היא חיה (5)",5,אודי הרשקוביץ,126
נגסקי,שמענו שהוא שלח ידו במשקה יפני ביפן (5),5,אודי הרשקוביץ,126
פונקציונר,"חצי קיצור של מקום מסוים, במזל יש לו תפקיד (9)",9,אודי הרשקוביץ,126
יהלומנ,היה לו מנהל איש מקצוע (6),6,אודי הרשקוביץ,126
רוקוקו,"סגנון אומנותי, סגנון מוזיקלי, וקולות בלי סוף (6)",6,אודי הרשקוביץ,126
נשמהתאומה,"הניחה את האחרונה בהרצאה שלה שממש דומה לה (4, 5)",9,אודי הרשקוביץ,126
יודפת,יש בית ועמוד בגליל (5),5,אודי הרשקוביץ,126
לחצימ,לאחד מכל שניים מספיק שיש מתח ולא רגוע (5),5,אודי הרשקוביץ,126
גורג,לפני איזו עיר משחק מייקל (4),4,אודי הרשקוביץ,126
תחכמוני,בבית ספר תוכל להיות תלמיד חכם שדומה לי (7),7,אודי הרשקוביץ,126
חפרפרת,זה שמונה מעופף לאחרונה מתחת לאדמה (6),6,אודי הרשקוביץ,126
רמותדרג,"שוב שיפשף עץ בכירות (4, 3)",7,אודי הרשקוביץ,126
לוי,רמי לא חשוב כמו 24 מאונך (3),3,דוד זהבי,127
ספורט,יש לו ענפים אבל הוא לא נותן מטבעות (5),5,דוד זהבי,127
מאומאו,"שום דבר, אולי הם מרדו (3, 3)",6,דוד זהבי,127
רחבתהכותל,"הלכת ובחרת בירושלים (4, 5)",9,דוד זהבי,127
יתהפכהעולמ,"יצא מלועה בכל מחיר (5, 5)",10,דוד זהבי,127
רעל,לא טוב בשביל אכילה (3),3,דוד זהבי,127
כיאניאמרתי,"סיבה שהורים נותנים שוב: צלע מאיפה וכיצד? (2, 3, 5)",10,דוד זהבי,127
מעלהעקרבימ,"טיפס ותלש שנים במים בדרום (4, 6)",10,דוד זהבי,127
אוטוסטראדה,אולי הוא גרם למכשיר חשמלי להעלם בכביש (10) (מ),10,דוד זהבי,127
שמראמונימ,"לא בגד אחרי נעמי ולפני הגוש (3, 6)",9,דוד זהבי,127
קופמחט,"קשה לעבור אצל אל""מ ק' (3, 3)",6,דוד זהבי,127
הנקוק,הרבי כן רב (5),5,דוד זהבי,127
סדנ,דב מקבל מכות בלי יעל (3),3,דוד זהבי,127
כהנ,"אולי גדול, כמו כן נפוץ! (3)",3,דוד זהבי,127
מיסעולמ,"הכי יפה שוב: מספיק, עוד מעט הם יבלעו (3, 4)",7,דוד זהבי,127
קרניער,"רק רני ערב לזו שמשמיעה צלילים (3, 3)",6,דוד זהבי,127
ועודאיכ,"בלי ארבע הוא דועך בפנים, בטח, ברור (4, 3)",7,דוד זהבי,127
מלאה,אם נתנה חסר בה חלל (4),4,דוד זהבי,127
פיתומ,שמענו שהוא מדבר מוזר בלי להתכונן (5),5,דוד זהבי,127
טאטוא,נקיון חוזר בששית בלי למהר? להיפך! (5),5,דוד זהבי,127
הלאההכבוש,"האם הקן שהסתובב הוא סיסמה פוליטית? (4, 5) (ח)",9,דוד זהבי,127
מרטיני,תלש את המטבע שלי וזה חריף (6),6,דוד זהבי,127
קיבורת,ביד יש בידית צומת (6),6,דוד זהבי,127
לקראתסיומ,"דוקטור, רב, הראשונה והאחרונה בלי פילוסוף: כמעט נגמר (5, 4)",9,דוד זהבי,127
בלימה,שום דבר בשביל לא להמשיך (5),5,דוד זהבי,127
פלובר,"לפי הסופר, הבהמה בלעה ארץ (5)",5,דוד זהבי,127
ארסי,אפשר לשתות את 2 מאונך (4),4,דוד זהבי,127
מכלמקומ,"איך שלא יהיה, המפקד, זה לא מספיק, עמוד! (3, 4)",7,דוד זהבי,127
משהסנה,"השר לשעבר מפנה את תשומת לב הרועה לתופעה מוזרה (3, 3)",6,דוד זהבי,127
אנטרקוט,הבשר חוזר: יואב לפני נגה (7) (ח),7,דוד זהבי,127
ישר,"עם 26 מאונך ו 24 מאונך. ישראל דומה לפלסטין? בקיצור, אפשר לסמוך עליו (3, 3, 3)",3,אודי הרשקוביץ,128
ציסטה,בעל חיים בלי כלום בבטן ובלוטה (5),5,אודי הרשקוביץ,128
פלטפוס,בישר לילדיו על בעיה רפואית (6),6,אודי הרשקוביץ,128
כופרבאשמה,"מה הוא טוען כשהתשלום מגיע למקומו (4, 5)",9,אודי הרשקוביץ,128
ביליקריסטל,"שחקן באוניברסיטה יגרום לנפילתו של צבי (4, 6)",10,אודי הרשקוביץ,128
הוא,נהפוך הדין בשלו (3),3,אודי הרשקוביץ,128
הודרוממותו,"לא הירשו להם להשתתך בהלוויתו של המלך (3, 7)",10,אודי הרשקוביץ,128
הוראהמגבוה,"חייבים לעשות את מה שמלמד הכדורסלן (5, 5)",10,אודי הרשקוביץ,128
מאזועדהיומ,"זעם ואוהדים זה לא משהו חדש (3, 3, 4)",10,אודי הרשקוביץ,128
טרמפיסטימ,לחסרי הרכב הקו משתלב יחד עם החרקים (9),9,אודי הרשקוביץ,128
שאנסונ,זה שהכריחו אותו לא הצליח לשיר את זה (6) (מ),6,אודי הרשקוביץ,128
סנטור,מחוקק מוסיקלי (5),5,אודי הרשקוביץ,128
כמו,ראה/י 7 מאונך,3,אודי הרשקוביץ,128
פלס,ראה/י 7 מאונך,3,אודי הרשקוביץ,128
פרצלציה,נכנס בכח למדבר בשביל לחלק אדמות (7),7,אודי הרשקוביץ,128
מהאברכ,"שיר זיכרון מתלמיד הישיבה (2, 4)",6,אודי הרשקוביץ,128
טקסטורה,מה שמרגישים כשנוגעים באירוע על לוח השחמט (7),7,אודי הרשקוביץ,128
האבל,מדען הצער (4),4,אודי הרשקוביץ,128
יטריפ,ישגע בחזרתו באופן לא חוקי (5),5,אודי הרשקוביץ,128
המוסד,עשו רעש על מכשיר עינויים חשאי (5),5,אודי הרשקוביץ,128
אלטרואיסט,"הוא עוזר שוב לפאר בית הספר, לא? (9)",9,אודי הרשקוביץ,128
ריזוטו,הכריזו: טוב המאכל (6),6,אודי הרשקוביץ,128
מיקסומ,לעשות  הכי הרבה זה נפלא אחרי השאלה (6),6,אודי הרשקוביץ,128
השקפתעולמ,"תפיסת המחאה, באופן לא צפוי, נכנסה במי שמרביץ (5, 4)",9,אודי הרשקוביץ,128
ברדלס,מכה לאף לא חיה אחת (5),5,אודי הרשקוביץ,128
נמסתה,אומרים שלום למשקה הולך ונעלם (5),5,אודי הרשקוביץ,128
יבכו,לא יהיו מאושרים כשסיבכו בסוף (4),4,אודי הרשקוביץ,128
הפטיטוס,חוסר הנצחון יגרום לעוף מחלה (7),7,אודי הרשקוביץ,128
משמעות,"התרחק מזיוף, מובן! (6)",6,אודי הרשקוביץ,128
אספירינ,יש תרופה באבן? אין? להיפך! (7),7,אודי הרשקוביץ,128
פרכ,בספר כתוב על העבודה (3),3,דוד זהבי,129
טונוס,"אין לו קול, איזה מתח! (5)",5,דוד זהבי,129
מולאטי,קירשנבאום בלע חצי לאפה עם מעורב (6) (מ),6,דוד זהבי,129
כפתורופרח,"מעולה, לוחצים עליו ומריחים אותו (5, 4)",9,דוד זהבי,129
לילותכימימ,"בשבילי ובשבילו תרביצי לנוזל במאמץ גדול (5, 5)",10,דוד זהבי,129
נכר,רואים גלות (3),3,דוד זהבי,129
לפתוחסתימה,"אם אין זרימה, צריך ירק, ועוד ירק ובו שתים בלי ראש (5, 5)",10,דוד זהבי,129
באישונלילה,"התערובת מכילה גמד, כדי שלא יראו (6, 4)",10,דוד זהבי,129
מעברהדרגתי,"נתתי ציון לשיכון עולים כדי להמנע משינוי קיצוני (4, 6)",10,דוד זהבי,129
מרדכינמיר,"ראש העיר התנגד בגלל שנחליף (5, 4)",9,דוד זהבי,129
נוטרימ,"היו במשטרה וחזרה, מספיק הוא יקטר (6)",6,דוד זהבי,129
השומר,הירק שמאגד את 19 מאונך (5),5,דוד זהבי,129
שנו,"עם 25 מאוזן. זה שהפסיקו לזלזל – זה הישג (3, 4)",3,דוד זהבי,129
רגל,עולה מסיימת מעץ (3),3,דוד זהבי,129
מוטסלפי,"אני אוכל אותו מהר כדי להצטלם (3, 4)",7,דוד זהבי,129
בנעליכ,"במקומך הייתי זז בבי""ס תיכון (6)",6,דוד זהבי,129
לפניהכל,"דבר ראשון – סך למשל (4, 3)",7,דוד זהבי,129
ברזל,יסוד יתום (4),4,דוד זהבי,129
ותולא,"רק זה חוזר אם סימן (3, 2)",5,דוד זהבי,129
סמכות,שומעים בקולה בלי אלימות (5),5,דוד זהבי,129
שובכיונימ,"מינויך הוא ממש הרמוניה (4, 5)",9,דוד זהבי,129
רבבריח,"כתם על אחד מחמישה שקשה לפתוח (2, 4)",6,דוד זהבי,129
ננומטר,"שמר בתוכו, שן מאוד קצר (6)",6,דוד זהבי,129
חנוכתהבית,"עצרו אחרי שנתיים בבית הספר, מה החגיגה? (5, 4)",9,דוד זהבי,129
יוזמה,הוזים רעיון (5),5,דוד זהבי,129
טינדר,חולצה והתחייבות בטלפון (5),5,דוד זהבי,129
גישה,ראה/י 26 מאונך,4,דוד זהבי,129
הריפוטר,"ילד פלא, העיתונאי שהוציאו ממנו רב (3, 4) (ח)",7,דוד זהבי,129
רטיבות,לפני הסוף יש בפנים איכות בגלל נוזלים (6),6,דוד זהבי,129
שלושרימ,ההרכב של מאיר ואלדד (7),7,דוד זהבי,129
רסר,נשמע לא טוב ועצבני בצבא (3),3,אודי הרשקוביץ,13
מצביא,איפה ימצא מפקד? (5),5,אודי הרשקוביץ,13
רגרסיה,העיר וראשיה חוזרים לאחור (6),6,אודי הרשקוביץ,13
פרופורציה,יש יחס חיובי לאלו שפותחים אותה (9),9,אודי הרשקוביץ,13
שועלישמשונ,"היה שעון שלושים במלחמת העצמאות? (5, 5)",10,אודי הרשקוביץ,13
ירכ,הוא חוזר ממיטתי ברגל (3),3,אודי הרשקוביץ,13
מטבעותלשונ,"זהו הכסף לפן, כך אומרים (6, 4)",10,אודי הרשקוביץ,13
הפוכעלהפוכ,"ירד לשמיכה באופן מתוחכם למדי (4, 2, 4)",10,אודי הרשקוביץ,13
כלביאשמורת,"בקולנוע הוא נראה כמו אריה במצב טוב לאחרונה (4, 6)",10,אודי הרשקוביץ,13
ויסקונסינ,באיזו תוכנית שבות שתי חברות יפניות? (9),9,אודי הרשקוביץ,13
פרודיה,זה לא עצוב שהיא מסתפקת במדינה אחת? (6),6,אודי הרשקוביץ,13
הרביצ,"האדמו""ר הצדיק לפני תורה (5)",5,אודי הרשקוביץ,13
דחי,אל תקבלי את זה שהלכנו משם לשם (3),3,אודי הרשקוביץ,13
לגו,משחק שלא מיועד לשחק בחוץ (3),3,אודי הרשקוביץ,13
רומנסרו,אוסף שירים ושני משקאות לפני תום הבולרו (7),7,אודי הרשקוביץ,13
שיפשופ,אמרו לזאב שיראה מה עושים בצבא (מ) (6),6,אודי הרשקוביץ,13
רחביגרמ,"חבר הכנסת הצביע נגד השמנים (4, 3)",7,אודי הרשקוביץ,13
הכרע,יש החלטה כיצד עליך להעניש את מי שלא התנהג יפה (4),4,אודי הרשקוביץ,13
לופוס,הלוואי ותהיה הפסקה במחלה (5),5,אודי הרשקוביץ,13
אכזיב,כנראה שלא יתלהבו ממני בצפון (5),5,אודי הרשקוביץ,13
כפרשמריהו,"זה דומה להסבר של קארי וגם במרכז (3, 6)",9,אודי הרשקוביץ,13
יתבטלו,לא יהיו בבנין ביתו (6),6,אודי הרשקוביץ,13
לבושתי,"רגשות המלכה גורמים לי להסמיק (6) (ע""פ דוד זהבי)",6,אודי הרשקוביץ,13
הפסקתאוכל,"גזר הדין: תישרף בבית הספר (5, 4)",9,אודי הרשקוביץ,13
פאונה,חיות עם מי שבוגד שוב (5),5,אודי הרשקוביץ,13
ואנדמ,"אומדן בקולנוע (3, 2) (מ)",5,אודי הרשקוביץ,13
ורדנ,דור דניאל בצרפת (4),4,אודי הרשקוביץ,13
כלהכבוד,"איזה בעל חיים שלך צעד בחזרה יפה מאוד? (2, 5)",7,אודי הרשקוביץ,13
נרתמיד,"שמו לו אזיק אחד בלבד לזכרון (2, 4)",6,אודי הרשקוביץ,13
לוקרציה,איזה ארון מדבר איטלקית? (7),7,אודי הרשקוביץ,13
דלק,רדף אחרי מי שאין לו מאה (3),3,אודי הרשקוביץ,130
מעוינ,היה עשר בבית שנותן צורה (5),5,אודי הרשקוביץ,130
פיאסקו,הכשלון של האלוף מתבטא בחצי הסכם (6),6,אודי הרשקוביץ,130
אינטגרציה,"בתהליך השילוב הכל רע, דונה (9) (עם דוד זהבי)",9,אודי הרשקוביץ,130
מנחמסבידור,"היו""ר לשעבר מארגון הטרור שיש לו רב (4, 6)",10,אודי הרשקוביץ,130
הגש,"הוא לא צדק שוב, אתה צריך להביא (3)",3,אודי הרשקוביץ,130
השבתהשחורה,"משקה נפוץ תוך כדי החזרה לימי המנדט (4, 6)",10,אודי הרשקוביץ,130
קטליזטורימ,מאיצים בה: אל תחסלי את הטור השמיני (10),10,אודי הרשקוביץ,130
כתריאליבקה,הוא התקרב אלייך בעירה (10),10,אודי הרשקוביץ,130
תנועהקצרה,"פתח למשל כמו עקב בצד אגודל (5, 4)",9,אודי הרשקוביץ,130
ויניפג,עיר של בן דודי הקטן (6),6,אודי הרשקוביץ,130
צמיגי,בעצמי גיליתי שזה סמיך (5),5,אודי הרשקוביץ,130
דמי,חבר מפתח שתיקה (3),3,אודי הרשקוביץ,130
ודא,תהיה בטוח שאתה מקום אחד לפני קבלת זהב (3),3,אודי הרשקוביץ,130
פומפידו,עיר שנחרבה פעמיים בפריס (7),7,אודי הרשקוביץ,130
להתמצא,בשביל לא ללכת לאיבוד יש ברשותה שוטר בעיר (6),6,אודי הרשקוביץ,130
אאוריקה,מצאתי לראשונה אפשרות שתהיה בלי כלום (7),7,אודי הרשקוביץ,130
קשוח,"מצד אחד בא לו, מצד שני לא מראה את זה (4)",4,אודי הרשקוביץ,130
מאטיס,צייר תשלום במהירות? להיפך ולהיפך (5) (מ),5,אודי הרשקוביץ,130
נכתיב,אנחנו נקבע לגבי החזרה למקום שלכן (5),5,אודי הרשקוביץ,130
יושבקרנות,"לא עושה כלום עם השטחים? בשר הוא נותן בלי סוף (4, 5)",9,אודי הרשקוביץ,130
נורדיה,מסתפק באשה ממרכז הארץ (6),6,אודי הרשקוביץ,130
טורדני,מעצבן מה שכותבים בעיתון אירופאי (6),6,אודי הרשקוביץ,130
הופעתאורח,"קפיצה קטנה וזה זמן הדרך לבקר (5, 4)",9,אודי הרשקוביץ,130
ריצרצ,צפוף במלון? אפשר לסגור ולפתוח (5),5,אודי הרשקוביץ,130
ניקוי,בהמה אפופת הוד וטהרה (5),5,אודי הרשקוביץ,130
בלדה,איזה שיר שרים באוטו? (4),4,אודי הרשקוביץ,130
מורבידי,תפסתי את קרן וזה חולני (7),7,אודי הרשקוביץ,130
הרהבית,"יש כיפה על אלה השניה (2, 4) (עם דוד זהבי)",6,אודי הרשקוביץ,130
ראפטינג,"אפשר לשוט שם בעיר, למרות הבוץ (7) (מ)",7,אודי הרשקוביץ,130
עול,קשה ולא צודק (3),3,דוד זהבי,131
ריתוכ,חיבור של ברית וכח (5),5,דוד זהבי,131
דורסני,"הוא לא עדין, הקצין שבכאב (6)",6,דוד זהבי,131
יזהראשדות,"שר וישפריץ את תחילת הבור (4, 5)",9,דוד זהבי,131
לאטובלאכספ,"סיסמת המוכר בשוק: אינו ממהר, שלא אתגעגע (2, 3, 2, 3)",10,דוד זהבי,131
ליל,"עם 26 מאונך. פעם בשבוע שמח בשרון (3, 3) (ח)",3,דוד זהבי,131
גבינהצהובה,"בקש מטבע, הצדיק הששי, בשביל סנדביץ (5, 5)",10,דוד זהבי,131
בנימזלדגימ,"שוב אפשר להשיג מטוס עני באלה שנולדו באדר (3, 3, 4)",10,דוד זהבי,131
אמירחצרוני,"אחרי הצמרת יורים את דניאל שעושה פרובוקציות (4, 6)",10,דוד זהבי,131
רונכחלילי,"השיר שלך וכלי הנגינה שלי, אמר הבמאי (3, 6)",9,דוד זהבי,131
ויהימה,"הדרך מערבה בכל מחיר (4, 2)",6,דוד זהבי,131
יזמזמ,"לא ממש ישיר שוב, אז תמששי (5)",5,דוד זהבי,131
ששי,ראה/י 2 מאונך,3,דוד זהבי,131
קרפ,נייר צרפתי (3),3,דוד זהבי,131
דבריטעמ,"שווה לשמוע שוב מה שכתב תלמיד חכם ביד (4, 3)",7,דוד זהבי,131
מלילוי,"לומד במה שבפנים לפי השחקנית (3, 3)",6,דוד זהבי,131
רמתפולג,"אורן, יחלקו אותך בשרון (3, 4)",7,דוד זהבי,131
בלאט,"מאמן בשקט, לעזאזל! (4)",4,דוד זהבי,131
וירוס,נצחון אחד מהחברים מתפשט (5),5,דוד זהבי,131
כאוטי,לא מסודר כמו אטום שיצא ממנו ספרדי (5),5,דוד זהבי,131
ממשלתשמיר,"שלטה בשנות השמונים, בדיוק ל-1980, בתחילת ירושלים (5, 4)",9,דוד זהבי,131
ודיערה,"בצפון חזרו ונדנדו (3, 3) (ח)",6,דוד זהבי,131
לפיכחו,"לזה שלא שתה ובהתאם ליכולתו (3, 3)",6,דוד זהבי,131
תומכלחימה,"אחרי כלל הכעסים, הוא חייל (4, 5)",9,דוד זהבי,131
גרופי,"מגלה הערצה, ובגללם הפרשתי הרבה רוק (5)",5,דוד זהבי,131
הולטר,בהר שוב תקחו את המוניטור (5),5,דוד זהבי,131
ורשה,בצומת מורשה או באירופה (4),4,דוד זהבי,131
מקסימלי,מוטי בלע כרטיס – ואין יותר (7),7,דוד זהבי,131
יריבימ,בין הלוחמים יכול להיות קרב לא יבשתי (6),6,דוד זהבי,131
אפידמיה,"שלחו ידם בהכנת לחם, היא מאוד מסוכנת (7)",7,דוד זהבי,131
סלפ,מצד אחד ישר מצד שני עיקם (3),3,אודי הרשקוביץ,132
ניתוק,בלי קשר אני תוקפני (5),5,אודי הרשקוביץ,132
להביור,באיזה כלי נשק לב יורה? (6),6,אודי הרשקוביץ,132
שלושרגלימ,"מאיר שעיר? בשבילי מספיק חגים (4, 5)",9,אודי הרשקוביץ,132
מחוצלקופסה,"בסך הכל לחצו אותו לחיה בצורה יצירתית (4, 6)",10,אודי הרשקוביץ,132
יצא,"עם 8 מאונך. שמר צעק: כשזה הפוך כולם יודעים (3, 5, 2, 3)",3,אודי הרשקוביץ,132
אינקוגניטו,ישטפו בגיגית ואחר כך יזיזו בלי שיזהו אותם (10),10,אודי הרשקוביץ,132
המרצעמנהשק,ראה/י 2 מאונך,10,אודי הרשקוביץ,132
טריפוליטאי,לובי חדש למשורר מזרח אירופאי (10),10,אודי הרשקוביץ,132
ליטורגיקה,אני הכותב השלישי בעיתון גרמני על מוסיקה (9),9,אודי הרשקוביץ,132
טומהוק,בתוך האטום הוקפו במשהו מעופף (6),6,אודי הרשקוביץ,132
רמדאנ,"יש שמחה בארגון? להיפך, בכלל אין אוכל (5) (מ)",5,אודי הרשקוביץ,132
פתו,שכנעו אותו לגבי מה שיאכל (3),3,אודי הרשקוביץ,132
מצר,"לא נעים לו, בגלל שאין שם הרבה מקום (3)",3,אודי הרשקוביץ,132
לבנמרסר,"ההורים רגועים, יש מי שדואג למשמעת הילד שלהם ששיחק כדורסל (3, 4)",7,אודי הרשקוביץ,132
איימיש,כל חיי נכנסו בבן אדם שחבר בכת נוצרית (6) (מ),6,אודי הרשקוביץ,132
ביתאלפא,"אצלי תלמד חיה ראשונה בעמק (3, 4)",7,אודי הרשקוביץ,132
האלו,הנמצאים כאן מההתחלה בשלום (4),4,אודי הרשקוביץ,132
צדשני,"האוניות טובעות בזבל? להיפך, אפשר גם אחרת (2, 3)",5,אודי הרשקוביץ,132
קטמרנ,על פני המים חתך את מי ששמח (5),5,אודי הרשקוביץ,132
צחוקהגורל,"באופן אירוני, דין החסידות: בצל (4, 5)",9,אודי הרשקוביץ,132
יטיפלו,"העשרים יצליח לעמוד ויוכיח אותו (4, 2)",6,אודי הרשקוביץ,132
מנופאי,אפונים למי שנמצא למעלה (6),6,אודי הרשקוביץ,132
מטרופולינ,מהשיגעון שלו למטבע יצא מקום עם המון אנשים (9),9,אודי הרשקוביץ,132
הוזהר,דב גבוה לא יכול להגיד שלא אמרו לו (5),5,אודי הרשקוביץ,132
מוגלי,מי שוב ישתה ביער? (5),5,אודי הרשקוביץ,132
טופו,כשהדב משלים מנין יש מה לאכול (4),4,אודי הרשקוביץ,132
קמבודיה,במזרח הוא בדק היום (7),7,אודי הרשקוביץ,132
הליבוט,דג הטלי (6),6,אודי הרשקוביץ,132
קרופניק,מרק לא חם ועם פרצוף של קוף (7),7,אודי הרשקוביץ,132
רפי,שוב לא ישמור על המפלגה (3),3,דוד זהבי,133
קרדומ,לך למטה ועמוד בחוץ בשביל לחפור (5),5,דוד זהבי,133
השתהות,עיכוב מחזיר סימן לפני מלחמה (6),6,דוד זהבי,133
טביעתאצבע,"משאירה סימן טוב, הוא הפחיד ואני אגוון (5, 4)",9,דוד זהבי,133
שמשונויובב,"נוכלים מלאו תפקיד, יופי ועיר (5, 5)",10,דוד זהבי,133
גדמ,"נכה אחד משנים עשר מספיק, מכה אחרי שלוש (3)",3,דוד זהבי,133
מטרופוליטנ,מוזיאון הנצחון של כמעט שני דני (10),10,דוד זהבי,133
שמנתפטריות,"במקום הזה נפסיק לעבוד יותר בלי סוף עם פסטה (4, 6)",10,דוד זהבי,133
תהיהליבריא,"תודה רבה לך, הרהור מערב אפריקאי ראשון (4, 2, 4)",10,דוד זהבי,133
ימרהאתפיה,"מורה, הנה כלי הקשה בצי שלא ישמע לה (4, 2, 3)",9,דוד זהבי,133
דנישטג,"השחקן טען שהדג אכל, לא באידיש (3, 3)",6,דוד זהבי,133
חישוב,נולד מחדש בשביל לפתור (5),5,דוד זהבי,133
גרש,לא השאיר מעל האות (3),3,דוד זהבי,133
חטפ,פתח שוק (3),3,דוד זהבי,133
הוקיקרח,"משחק קפטן אהוב לפני שמונה (4, 3)",7,דוד זהבי,133
נגמשוט,"בכלי צה""לי אפילו נצוף בחוץ (6)",6,דוד זהבי,133
תקדימימ,איזה צדיק בלע שופט שמחפש מקורות לפסיקה? (7),7,דוד זהבי,133
שמוש,סופר ניצול (4),4,דוד זהבי,133
וועדה,שישית וגבעה לפני חקירה (5)(מ),5,דוד זהבי,133
מתנער,לא האריך ימים ולא לוקח אחריות (5),5,דוד זהבי,133
תהרוגאותי,"תהיה לכם שלישיה, זה הסימן שלי – אני לא מבין! (5, 4)",9,דוד זהבי,133
מיידופ,"מפעמים יו""ד ופעמים פ""א יוצא נוכל (6)",6,דוד זהבי,133
טופולב,חיים פעמיים בחברת תעופה (6),6,דוד זהבי,133
עדנהפלידל,"לפי השחקנית, איזה גן גרם להרשעת ארבעה בפנים? (4, 5)",9,דוד זהבי,133
ישתבח,יתגאה באפריקאי שחזר בסוף? להיפך (5),5,דוד זהבי,133
ישתלב,נטע בשמינית ימצא את מקומו (5),5,דוד זהבי,133
ריגנ,מה שומר יגנוב מבית הנשיא? (4)(ח),4,דוד זהבי,133
תחתהשמש,"במקום הגבאי בכל מקום (3, 4)",7,דוד זהבי,133
הנאפשר,"שיר על ראש פנה (2, 4)",6,דוד זהבי,133
ספילברג,הבמאי ריבלין במרכז העיר (7),7,דוד זהבי,133
נטל,לקח משהו מכביד (3),3,אודי הרשקוביץ,134
גרינג,בלו נכשל במלחמת העולם השנייה (5),5,אודי הרשקוביץ,134
בולונז,איך זבולון אוכל את הפסטה שלו? (6),6,אודי הרשקוביץ,134
גיימסבונד,"רק בקולנוע הומו לא עומד מול סבא שלו (5, 4)",9,אודי הרשקוביץ,134
יהודיתרביצ,"שרה על איך הוא צריך להגיב לתקיפה אנטישמית (6, 4)",10,אודי הרשקוביץ,134
וכו,"בוכות בצד? להיפך, וכל השאר? (3)",3,אודי הרשקוביץ,134
חפירותהצלה,"שוב בדיחה שמגיע הזמן שלי, זה מלכודת לפני שסוללים כביש (6, 4)",10,אודי הרשקוביץ,134
גורגבושהאב,"נשיא, סגן נשיא שלישי. זה לא נעים גם לפני חודש (4, 3, 3)",10,אודי הרשקוביץ,134
באושרועושר,"איך הם חיו, הגיעו לכאן והוא שוכב ומזמר (5, 5)",10,אודי הרשקוביץ,134
לארהקרופט,"השטח שלא חם בדירה ממשחקי מחשב (4, 5)",9,אודי הרשקוביץ,134
וילהלמ,טל נתן ניצחון לשוק (6),6,אודי הרשקוביץ,134
הלוגנ,נורה שסובבו אותה שוב (5),5,אודי הרשקוביץ,134
דינ,"עם 17 מאוזן. במלון הוא יעשה הפסקה, גם אתם אל תעבדו. זה מה שקרה (3, 6)",3,אודי הרשקוביץ,134
להג,שיחה קלה לבירה (3),3,אודי הרשקוביץ,134
ברגלינו,איך דרכנו עליהם? אמרנו להם שישארו הלילה בעיר (7),7,אודי הרשקוביץ,134
בואינג,"אם תבואי, נגלוש בשמיים (6)",6,אודי הרשקוביץ,134
לאיוצלח,"איזה טמבל יואל, הוא התבלבל ועבר לצד השני (2, 5)",7,אודי הרשקוביץ,134
גורו,ממנהיג יש לפחד (4),4,אודי הרשקוביץ,134
דגמנו,בדקנו מדי פעם איך הם היו בתצוגה (5),5,אודי הרשקוביץ,134
גבולי,הוא לא פונה אלי וזה ממש על הקשקש (5),5,אודי הרשקוביץ,134
גברתהברזל,"אלמנתו של איתן היתה פעם באנגליה (4, 5)",9,אודי הרשקוביץ,134
אבוקדו,נשמע שאני אגיע לפני שהם כרעו תחת העץ (6),6,אודי הרשקוביץ,134
וחשבונ,ראה/י 26 מאונך,6,אודי הרשקוביץ,134
דונהגרציה,"אשה עשירה תשפוט את זה שחי במדבר (4, 5)",9,אודי הרשקוביץ,134
הנפצה,"מצד אחד שמועה מפתיעה, מצד שני שומרת על סודיות (5)",5,אודי הרשקוביץ,134
לפרוע,"צריך להחזיר שוב, הוא לא ממש היה בהכרה (5)",5,אודי הרשקוביץ,134
ועדה,איזו עבודה יש בכנסת? (4),4,אודי הרשקוביץ,134
בליבושה,"בפנים הוא בהמה, בכלל לא איכפת לו (3, 4)",7,אודי הרשקוביץ,134
טורינו,מה שכתבנו בעיתון באיטליה (6),6,אודי הרשקוביץ,134
אגרונומ,"הוא חוקר ויש בימה, אל תהיו עצובים (7)",7,אודי הרשקוביץ,134
וגו,ברדוגו לא אומר הכל (3),3,דוד זהבי,135
תאריכ,מתי תוסיף? (5),5,דוד זהבי,135
דמכחול,"מיוחס לציור אחרי הדלת (2, 4)",6,דוד זהבי,135
בשרתותחימ,"העיר בקיצור, ורבנים חשופים לאש (3, 6)",9,דוד זהבי,135
צאלימהוריד,"הנחית את הבסיס, אתה מנדנד לי! (2, 2, 6)",10,דוד זהבי,135
מצר,בקצה התחום יש מרבץ הפוך (3),3,דוד זהבי,135
מערתנטיפימ,"חובש, תייעץ בהרי יהודה למשל (4, 6)",10,דוד זהבי,135
אמצעימניעה,"מיקום האי ותזוזה למי שלא מתנזר (5, 5)",10,דוד זהבי,135
אורתודוקסי,קורס דתי ו/או סוג של דתי (10),10,דוד זהבי,135
ווסטפוינט,"מוסד אמריקאי ומעיין באתר (4, 5) (מ)",9,דוד זהבי,135
וונטונ,"הולנדי בלע טיל בשישית, אז אפשר לאכול (6)",6,דוד זהבי,135
יקרוס,לא יחזיק שוב את זה שמתבונן בי (5),5,דוד זהבי,135
דמו,גלה בדיוק לפני ההמחשה (3),3,דוד זהבי,135
רסנ,קצין שהיה אחראי על משמעת (3),3,דוד זהבי,135
דנתיכונ,"היו""ר לשעבר הכניס פיוז לנהר אירופאי (2, 5)",7,דוד זהבי,135
